Date,CCI Value,CCI Rolling Mean,CCI Rolling Percent Change,CPI Value,CPI Rolling Mean,CPI Rolling Percent Change,Unemployment Rate (%),Unemployment Rate (%) Rolling Mean,Unemployment Rate Rolling Percent Change,CCI Rolling Percent Change Flag,CPI Rolling Percent Change Flag,Unemployment Rate Rolling Percent Change Flag,Economic Climate
1982-04-01,97.55471,98.07445000000001,0.27019001737822457,95.0,93.09166666666668,9.145090376160248,8.2,7.708333333333333,9.338061465721047,positive,positive,positive,Lean to Bad
1982-05-01,97.62304,97.99525083333333,-0.008191052520412079,95.9,93.60833333333333,8.899660688318,8.4,7.775000000000001,8.614668218859167,negative,positive,positive,Lean to Bad
1982-06-01,97.61824,97.90772,-0.26834764914666076,97.0,94.14999999999999,8.686868686868676,8.6,7.858333333333333,8.266360505166471,negative,positive,positive,Lean to Bad
1982-07-01,97.63554,97.817055,-0.4869136148113018,97.5,94.64999999999999,8.336512781381145,8.8,7.966666666666666,8.636363636363619,negative,positive,positive,Lean to Bad
1982-08-01,97.76183,97.73902750000002,-0.6373108085727441,97.7,95.10833333333333,7.934556459239639,8.9,8.083333333333334,9.357384441939121,negative,positive,positive,Lean to Bad
1982-09-01,98.02283,97.70491833333334,-0.6761694444990418,97.7,95.49166666666667,7.434839677479865,9.1,8.216666666666667,10.414333706606937,negative,positive,positive,Lean to Bad
1982-10-01,98.25684,97.72327583333333,-0.6095133570474531,98.1,95.88333333333333,7.002696921789253,9.3,8.366666666666667,11.804008908685981,negative,positive,positive,Lean to Bad
1982-11-01,98.31488,97.77657833333332,-0.4860667857563561,98.0,96.23333333333333,6.580526072911863,9.5,8.525,13.414634146341475,negative,positive,positive,Lean to Bad
1982-12-01,98.31151,97.83342833333332,-0.3865245159428543,97.7,96.53333333333335,6.158357771261014,9.7,8.691666666666666,15.121412803532008,negative,positive,positive,Lean to Bad
1983-01-01,98.413,97.8898375,-0.30911794834758144,97.9,96.825,5.7811361981063625,9.9,8.866666666666667,16.92307692307693,negative,positive,positive,Lean to Bad
